"ID","klimatischer Stressor","Impact","Branche(n)","Unternehmensbereich","Unternehmen","Land","Naturraum","Beschreibung","Textstelle(n)","Spalte1","Spalte2","Spalte3","Spalte4","Spalte5","Spalte6","Spalte7","Spalte8","Spalte9","Spalte10"
,"Hitze","Hitzebelastung bei Arbeiten im Innenbereich bzw. im Schatten: Schwitzen, Flüssigkeitsverlust und Kreislaufprobleme  --> sinkende Arbeitproduktivität","Getränkeindustrie; Bausektor; Logistik; Verarbeitendes Gewerbe; Energiewirtschaft; Wasserversorgung; Forst- und Holzwirtschaft; Nahrungsmittelindustrie","Personal","Brauerei Kleines Bierhaus; Decker Bier; Lieler Schlossbrunnen; B2; C2; Dischinger; Hévron; Gaggenau; IWB; SWMS; Sägewerk 1","Deutschland; Schweiz; Frankreich","Tieflagen; mittlere Lagen","v.a. bei körperlichen Arbeiten in unklimatisierten Umgebungen bzw. an Geräten mit Wärmeemissionen; auch in gekühlten Umgebungen, z. B. im Kühllager --> steigende Erkältungsgefahr, mehr Belastung für Kreislauf","Bierhaus: Ich meine klar, im Sommer viel mehr trinken, wenn es so heiß ist beim Arbeiten. ","Decker: Naja gut, da merkst du es eigentlich nur im Einzelnen, wenn du irgendwo Theken aufgebaut hast auf einem Festival, dass es schon teilweise im Sommer sehr heiß da ist. Das merken wir, aber das merkt ja auch jeder im Privaten. Aber jetzt so groß, dass wir Klimatechnik oder so einbauen würden –das machen wir halt einfach nicht. Da sollen sie einfach Wasser trinken und das ist auch ok.","Lieler: wenn man an der Flaschenwaschmaschine arbeitet, die hat so 80 Grad und bei einer starken Hitzewelle verstärkt sich das natürlich nochmal mehr, da geht die Luft richtig und das ist für die Gesundheit vom Personal auch nicht ohne","Hars et al, S. 44; S. 56","Dischinger 2016: Bei uns ist eigentlich die Gefahr eher im Sommer. Durch die Kühlung. NS: Dass die Leute sich erkälten. KS: Weil wenn sie in einer Lagerhalle mit 7 Grad und draußen ist es 30 Grad dann ist der Temperaturunterschied, klar, wir sind auch beeinflusst von diesen Grippewellen, das schlägt bei uns auch zu Buche. Aber unsere Gefahr ist eher im Sommer. NS: Das ist eine Riesenbelastung für den Organismus. KS: Und dann kommt halt der Fahrer und von draußen, klar, die haben alle ihre Klimaanlage in ihren LKWs, dann gehst du halt mal kurz mit dem T-Shirt ins Kühllager. Ich meine wenn du von 30 Grad in 4 Grad kommst, das macht nicht immer jeder Körper so mit.","Hévron: Oui, nous sommes un peu affectés par la canicule. [...] Dans les locaux, on est bien équipé donc on n'a pas de problèmes. On a un lac froid, pour régulariser notre température. Les gens se plaignent ici quand il y a la canicule, parce qu'on ne règle pas une température de 24°C quand il fait 40°C dehors. On a un delta de 10°C maximum, pour garantir le bien-être. Quand on crève de chaud dehors, on a un peu chaud dedans. ","Gaggenau: Par contre en été, on a des pics de chaleur qui sont parfois très mal supportables. Les gens travaillent déjà dans des conditions de chaleur assez élevées, vu qu’on travaille à partir d’un four qui chauffe à 850°C pour faire cuire l’émail. C’est un four de génération très récente, donc bien isolé, mais les pièces qui ressortent du four ont une température de 200°C en sortie et c’est ça qui rayonne. 
 […] Les rendements sont certainement diminués. Sur un poste, la température montait à 42°C. On a mis des gros ventilateurs. Sur les autres postes, la température montait à 32°C : la productivité diminue. On met 2 bouteilles d’eau à disposition de chaque personne.
","IWB: ich  denke  schon,  dass  es  eine größere Rolle spielt, wenn die Temperaturen im Sommer deutlich nach oben gehen, dass die Arbeitsleistung unter Umständen zurückgehen kann. Da muss man darauf reagieren, indem man  Gebäude  klimatisiert,  aber  auf  intelligente  Art  und  Weise. ","SWMS: Die Hitze, Hitzewelle macht uns auf jeden Fall zu schaffen. Nicht nur zu schaffen, klar wir selbst leiden darunter, weil es sau heiß ist, auch in den Büros.","Sägewerk: Ich mein an See liegen ist schon schön aber wenn ich muss schaffen bei 35°C dann ist es halt doch bisschen anders. Also das wär das einzige wo ich sagen würde leiden.","Dörr 2021, S. 27"
,"Hitze","Hitzebelastung bei Arbeiten im Freien: zusätzlich hohe UV-Strahlung --> Sonnenbrand-, Sonnenstich-, Hautkrebsrisiko ","Bausektor; Verarbeitendes Gewerbe; Energiewirtschaft; Wasserversorgung; Forst- und Holzwirtschaft","Personal","U1; Z1; Z2; D1; D2; B2; B1; C1; Hévron; IWB; SWMS; Forstbetrieb 1; Heinzelmann Holzbearbeitung","Deutschland; Schweiz","Tieflagen; mittlere Lagen",,"Hars et al, S. 20, S. 28, S. 32, S. 36","Hévron: Oui, nous sommes un peu affectés par la canicule. Sur les chantiers avant tout.","IWB: Es gibt sehr viele Tiefbauarbeiten, um Leitungen zu bauen,  Leitungsgräben  auszuheben  in  der  Stadt,  Leitungen  auszutauschen,  usw.  An  sehr heißen  Sommertagen  muss  man  da  sicherlich  zunehmend  vorsichtiger  sein:  Mehr  Pausen einräumen, mehr Trinkwasser zur Verfügung stellen, Schatten schaffen –das muss sicherlich Stück für Stück angepasst werden.","SWMS:  Wo  wir  wirklich  gut  aufpassen  müssen  aus arbeitsschutzrechtlicher  Sicht,  dass  wir  unsere  Mitarbeiter  entsprechend  schützen,  d.h.  das klingt  jetzt  erstmal  blöd, aber  dass  jeder  eine  Sonnenbrille,  eine  Cappy  und  Sonnencreme kriegt, weil bei dem Wetter müssen wir auch raus und wenn Wasserrohrbruch ist dann müssen die das auch bei der Hitze flicken und das ist natürlich nicht ohne und das geht auch wieder auf die Gesundheit.","Forstbetrieb: Die Hitzewellen treffen uns ja sehr stark, weil dadurch auch (...) wir müssen danach planen, weil zu stark (...) können wirnicht draußen arbeiten.",,,,,,
,"Hitze","Verstärkung von gesundheitlichen Beschwerden und Vorerkrankungen --> mehr Fehlzeiten, geringere Arbeitsproduktivität","Logistik; Wasserversorgung","Personal","Dischinger; SWMS; Contargo","Deutschland","Tieflagen","z. B. Neurodermitis","Dischinger 2016: Ich persönlich merk auch die Hitze. Ich hab Neurodermitis. Klimawandel, nur wenn Du persönlich betroffen bist. ","SWMS: Personal: Gesundheit,  Fehlzeiten.  Wo  wir  wirklich  gut  aufpassen  müssen  aus arbeitsschutzrechtlicher  Sicht,  dass  wir  unsere  Mitarbeiter  entsprechend  schützen,  d.h.  das klingt  jetzt  erstmal  blöd, aber  dass  jeder  eine  Sonnenbrille,  eine  Cappy  und  Sonnencreme kriegt, weil bei dem Wetter müssen wir auch raus und wenn Wasserrohrbruch ist dann müssen die das auch bei der Hitze flicken und das ist natürlich nicht ohne und das geht auch wieder auf die Gesundheit.","Kolhof et al. 2018",,,,,,,,
,"Hitze","Probleme mit Arbeitsschutz-Bestimmungen wg. Hitzebelastung der Mitarbeiter ","Forst- und Holzwirtschaft","Management","Forstbetrieb 1","Deutschland","Tieflagen; mittlere Lagen; Hochlagen",,"Forst 1: Schwierigkeit ist natürlich im Arbeitsschutz, wenn dann mit der Klimakrise (...), also sowohl  bei  der  Hitze",,,,,,,,,,
,"Hitze","sinkender Konsum von alkoholischen Getränken ","Getränkeindustrie","Absatz","Brauerei Kleines Bierhaus; Decker Bier","Deutschland","Tieflagen"," ab ca. 30°C","wenn es zu heiß ist, dann trinken die Leute mehr Mineralwasser anstatt mein Bier. Ab 35°C oder 30°C wird weniger Bier und mehr Wasser getrunken. […]ich sage immer: Das beste Bier-Wetter ist 22°C und blau-weißer Himmel. Da wird am meisten Bier getrunken.","Andere Hitzeperioden, da denkt man, das ist fürs Bier ganz gut, weil der Absatz steigt. Aber ein alkoholisches Getränk wird eher weniger getrunken, wenn es zu heiß ist. Für uns sind also eher die moderaten Temperaturen interessant, wenn es schön warm ist im Sommer, aber nicht zu heiß. [...] In  den  Sommermonaten  wurde  es  schon  sehr  trocken  und  heiß.  Wir haben  selber  dort  [im  Außenbereich  der  Decker-Garage]  ein  bisschen  Hopfen  angepflanzt, das war alles schön. Letztes Jahr konnten wir das noch von Hand gießen, dieses Jahr haben wir  eine  Bewässerungsanlage  installiert,  um  die Begrünung  aufrecht  zu erhalten. [...]Da  war  der  Gedanke,  den  Hof  mehr  zu  begrünen,  um  es  ein  bisschen schattiger und kühler zu machen. Also, so halb halb, es soll auch gemütlicher sein und schöner aussehen.Wir haben aber auch gemerkt, dass da die Sonne ganz schön reinbrezelt und wir etwas Schatten brauchen. ",,,,,,,,,
,"Hitze; allg. Temperaturanstieg","zunehmende Probleme mit der Verderblichkeit gelagerter Produkte & Rohstoffe","Getränkeindustrie; Logistik; Nahrungsmittelindustrie","Rohstoffe; Lagerung","Decker Bier; Spedition Kleyling; Dischinger","Deutschland","Tieflagen","Brandschutz verhindert wirksame bauliche Abdichtung der Lagerhalle","So ein Lager für –sage ich jetzt mal –ein mittellang haltbares Naturprodukt, das müsste eigentlich immer auf einer Temperatur sein.[…] aber  tatsächlich  ist  es  für  Bier  nicht  so  geil,  wenn  das  mal zwischendurch  heiß  wird.  Das  sollte  eigentlich  nicht  passieren.  Das  beobachten  wir  gerade tatsächlich.","Was wir schon hatten ist, dass ein LKW über das Wochenende mit Sekt beladen in der Sonne stand, der Fahrer hat morgens angefangen und dann haben bei 25 Tonnen Sekt die Korken geknallt. Also Sie sehen, es gibt nicht nur Sekt, es gibt auch andere Produkte, die bei Hitze nicht mehr gut oder ohne Qualitätsverlust transportiert werden können. Bei Baden spielt natürlich der Rhein noch eine Rolle, aber auch Wasser, also einfaches Wasser in Flaschen wenn Sie fahren und das Wasser erhitzt sich dabei auf 30-40 Grad, dann ist es natürlich auch eine Frage der Hygiene und der Keimbelastung, die sich dadurch ergibt","Dischinger: die Feuchte macht mir zu schaffen, in den Kühllägern. Weil ich die Feuchte nicht beeinflussen kann.[…] Und das ist unheimlich schwierig, das zu beeinflussen, die Feuchte in den Lägern. Unheimlich schwer. Je höher die Feuchte, umso schneller geht mir die Temperatur dann wieder hoch. Ich darf einfach nicht [höhere Temperaturen im Lager haben? Anm. NS], weil sich dann die MHD [gemeint: Mindesthaltbarkeitsdatum] der Produkte verändern, und ich ein Riesentheater mit dem RP [gemeint: Regierungspräsidium?] hab wegen den Medikamenten, die wir lagern. Also, das bereitet mir zunehmend Schwierigkeiten, die Feuchte. Und ich denke, dass das noch schlimmer wird. ","Dischinger: Auch Gesetze widersprechen sich beispielsweise. Wir brauchen überall Brandschutz [...] Das heißt da ist so ein Rauchabzug und die sind einfach nicht dicht. Wenn ich diese extreme Hitze habe, dann bringen die mir zu viel Feuchte, zu viel Hitze rein. Was machen wir mit dem Brandschutz aus? Dann tun wir es halt dichtmachen damit ich Temperaturen halten kann. Völlig, ja… das machen wir dann schon aber wir halten uns an den Brandschutz. Wir sind auch, das ist auch immer ein Unterschied zwischen Feuerwehr, was meint die Feuerwehr und was meint derjenige, der die Gesetze dann für sich auslegt. Ja und wir sind in sehr engem Kontakt mit der Feuerwehr, die kommen nächste Woche wieder. Wir haben auch schon Tests hier, also Übungen und so",,,,,,,
,"Hitze","Überhitzung von Maschinen und Geräten: Black-Outs, Stromausfälle, Schäden an IT-Infrastruktur, Gefahr von Datenverlusten; Brandgefahr","Verarbeitendes Gewerbe; Wasserversorgung","Betriebsmittel; Kritische Infrastruktur; Produktion / Betrieb","Gaggenau; SWMS","Frankreich; Deutschland","Tieflagen","z. B. Ausfall von Klimaanlagen (!), Wasserpumpen","Gag: Effectivement, on a eu un incident en 2015. Notre salle serveur se trouve dans ce bâtiment-là. On a un système de double climatisation, l’une qui tourne constamment, et une 2e en secours, et les deux étaient tombées en panne en même temps, en plein mois d’août. L’alarme s’est déclenchée. Le temps de réagir… c’est quelque chose dont on n’a pas l’habitude… On était vraiment très très limite. Théoriquement, un serveur aurait même pu brûler. On a changé complètement le truc, c’étaient des trop vieux modèles, on les a remplacés. C’est qqch qu’on va certainement suivre un peu mieux au niveau maintenance","SWMS: Das  ist  eine  Netzüberlastung.  Die  Netze  sind  auf  dem  Anschlag  teilweise.  Die Klimaanlagen  laufen,  die  Hitze  macht  den  ganzen  Anlagen  zu  schaffen  und  dann  steigen immer wieder die Netze aus. Dann kommt der Energiedienst, Badenova oder wer auch immer, und flickt das schnell aber in der Zeit habe ich dann mal zwei Stunden kein Strom. Und das ist halt wirklich schlecht für die Wasserversorgung, weil dann die Pumpen nicht funktionieren und die  Leute  kein  Wasser  mehr  kriegen,  d.h.  wir  müssen  gewährleisten,  dass  das  komplette System rund um die Uhr auch bei einem Stromausfall funktioniert. Und wir müssen das System auch  so  fahren,  dass  wir  mindestens  24  Stunden  bei  dem  Stromausfall  trotzdem  Wasser versorgen können. Das ist eine Vorgabe [...] diese Stromausfälle nehmen zu bei uns in der Region durch diese Hitzewellen, das hat man in den letzten Jahren gemerkt, dass dann doch wieder regelmäßig das Licht ausgehen",,,,,,,,,
,"Hitze","sinkende Produktionskapazität wg. Nicht-Volllast der Maschinen","Getränkeindustrie","Produktion / Betrieb","Lieler Schlossbrunnen","Deutschland","Tieflagen",,"wenn dann eine Hitzewelle ist, dass alles ein bisschen langsamer läuft, weil die Maschinen natürlich auch nicht bei 100%Leistung arbeiten können, das eher. So richtig stark ist da die Betroffenheit noch nicht da gewesen. Das es Ausschlag hätte, dass man sagt: „Ok, man kann deswegen nicht produzieren.“",,,,,,,,,,
,"Hitze","Blow-Ups auf Straßen und versiegelten Betriebsflächen --> Tempolimits, Streckensperrungen, Verspätungen, Unfallgefahr; Reparaturbedarf auf versiegelten Flächen","Logistik","Produktion / Betrieb; Betriebsmittel; Lieferkette","Spedition Kleyling; Evola; Doll; Contargo","Deutschland","Tieflagen",,"Was natürlich auch nicht zu unterschätzen ist, sind Hitze und Trockenheit, vor allem wegen den Fahrbahnen, die aufbrechen oder nicht mehr befahrbar sind, große Streckensperrungen.","Evola:  die Hitze ist natürlich auch ein Problem oder kann ein Problem werden. Ich denke dabei an temporäre Beziehungen bzw. an die temporären Geschwindigkeitsbeschränkungen auf deutschen Autobahnen, wo sich dann die Betonplatten wellen respektive sich der Teer sich schon in Auflösung befindet.","Doll: z.B. es gibt eine Hitzewelle […] und dass die Straßen beschädigt wären? Und dass man dann hört, dass an solchen Hitze- oder Regentagen z.B. die LKW auch vermehrt Verspätung aufweisen?
IP: Ja kann man schon so sagen, hatten wir auf alle Fälle.","Kolhof et al. 2018, S. 17",,,,,,,
,"Hitze","Reduzierung der Arbeitszeiten wg. Hitzebelastung des Personals und zu heißen Betriebsmitteln / Materialien","Bausektor; Verarbeitendes Gewerbe","Produktion / Betrieb","U1; Z1; Z2; D1; D2; Hévron","Deutschland; Schweiz","Tieflagen; mittlere Lagen; Hochlagen","v.a. bei Baustellen ohne Schatten","Hars et al, S. 20: Wenn es im Mai schon 35, 37 Grad hat und mache Baustellen keinen Schatten geben, dann können wir nicht so lange arbeiten […]","ebd, S. 41","Hévron: Autant quand il fait 40°C, on ne veut pas laisser nos employés travailler sur les toits, quand il fait trop chaud, on les renvoie à la maison. ",,,,,,,,
